17:17:54.630 [pool-2-thread-9] INFO  mylog - 北京廿一客食品有限公司台湖生产基地---账户密码:yyz2016...
17:17:54.630 [pool-2-thread-3] INFO  mylog - pool-2-thread-3---下载北京源海泓阁商贸有限公司第一页文档!
17:17:54.657 [pool-2-thread-3] INFO  mylog - pool-2-thread-3处理企业----北京源海泓阁商贸有限公司成功!
17:17:54.657 [pool-2-thread-3] INFO  mylog - pool-2-thread-3正在处理企业----博文慧泰国际贸易（北京）有限公司
17:17:54.657 [pool-2-thread-3] INFO  mylog - 爬取的申请人名称---博文慧泰国际贸易（北京）有限公司
17:17:54.660 [pool-2-thread-4] INFO  mylog - pool-2-thread-4处理企业----北京天联天顺科技发展有限公司成功!
17:17:54.661 [pool-2-thread-4] INFO  mylog - pool-2-thread-4正在处理企业----思慕思（北京）餐饮管理有限公司朝阳分公司
17:17:54.661 [pool-2-thread-4] INFO  mylog - 爬取的申请人名称---思慕思（北京）餐饮管理有限公司朝阳分公司
17:17:54.666 [pool-2-thread-8] INFO  mylog - pool-2-thread-8处理企业----北京通达汇诚商贸有限公司成功!
17:17:54.666 [pool-2-thread-8] INFO  mylog - pool-2-thread-8正在处理企业----北京峡筑幕墙工程设计咨询有限公司
17:17:54.666 [pool-2-thread-8] INFO  mylog - 爬取的申请人名称---北京峡筑幕墙工程设计咨询有限公司
17:17:54.679 [pool-2-thread-4] INFO  mylog - 思慕思（北京）餐饮管理有限公司朝阳分公司---登录账户名:18810412927
17:17:54.679 [pool-2-thread-4] INFO  mylog - 思慕思（北京）餐饮管理有限公司朝阳分公司---账户密码:yyz2016...
17:17:54.687 [pool-2-thread-3] INFO  mylog - 博文慧泰国际贸易（北京）有限公司---登录账户名:18810412927
17:17:54.687 [pool-2-thread-3] INFO  mylog - 博文慧泰国际贸易（北京）有限公司---账户密码:yyz2016...
17:17:54.740 [pool-2-thread-7] INFO  mylog - pool-2-thread-7---下载北京青藤天使教育咨询有限责任公司第一页文档!
17:17:54.774 [pool-2-thread-7] INFO  mylog - pool-2-thread-7处理企业----北京青藤天使教育咨询有限责任公司成功!
17:17:54.774 [pool-2-thread-7] INFO  mylog - pool-2-thread-7正在处理企业----北京精益融园商贸有限公司
17:17:54.774 [pool-2-thread-7] INFO  mylog - 爬取的申请人名称---北京精益融园商贸有限公司
17:17:55.057 [pool-2-thread-8] INFO  mylog - 北京峡筑幕墙工程设计咨询有限公司---登录账户名:18810412927
17:17:55.057 [pool-2-thread-8] INFO  mylog - 北京峡筑幕墙工程设计咨询有限公司---账户密码:yyz2016...
17:17:55.167 [pool-2-thread-7] INFO  mylog - 北京精益融园商贸有限公司---登录账户名:15244665829 
17:17:55.167 [pool-2-thread-7] INFO  mylog - 北京精益融园商贸有限公司---账户密码:314159265358
17:17:56.717 [pool-2-thread-5] INFO  mylog - pool-2-thread-5处理企业----北京怒放国际科技有限公司成功!
17:17:56.717 [pool-2-thread-5] INFO  mylog - pool-2-thread-5正在处理企业----北京市天禄琳琅文化咨询有限责任公司
17:17:56.717 [pool-2-thread-5] INFO  mylog - 爬取的申请人名称---北京市天禄琳琅文化咨询有限责任公司
17:17:56.734 [pool-2-thread-5] INFO  mylog - 北京市天禄琳琅文化咨询有限责任公司---登录账户名:18810412927
17:17:56.734 [pool-2-thread-5] INFO  mylog - 北京市天禄琳琅文化咨询有限责任公司---账户密码:yyz2016...
17:18:02.184 [pool-2-thread-10] INFO  mylog - pool-2-thread-10---下载北京牛魔王餐饮连锁有限公司第一页文档!
17:18:02.456 [pool-2-thread-10] INFO  mylog - pool-2-thread-10处理企业----北京牛魔王餐饮连锁有限公司成功!
17:18:02.456 [pool-2-thread-10] INFO  mylog - pool-2-thread-10正在处理企业----北京湖园养殖专业合作社
17:18:02.456 [pool-2-thread-10] INFO  mylog - 爬取的申请人名称---北京湖园养殖专业合作社
17:18:02.473 [pool-2-thread-10] INFO  mylog - 北京湖园养殖专业合作社---登录账户名:15244665829 
17:18:02.473 [pool-2-thread-10] INFO  mylog - 北京湖园养殖专业合作社---账户密码:314159265358
17:18:02.965 [pool-2-thread-2] INFO  mylog - pool-2-thread-2---下载北京恒丰丽晶科贸有限公司第一页文档!
17:18:03.038 [pool-2-thread-3] INFO  mylog - pool-2-thread-3---下载博文慧泰国际贸易（北京）有限公司第一页文档!
17:18:03.104 [pool-2-thread-1] INFO  mylog - pool-2-thread-1---下载北京埃库玛科技有限公司第一页文档!
17:18:03.125 [pool-2-thread-1] INFO  mylog - pool-2-thread-1处理企业----北京埃库玛科技有限公司成功!
17:18:03.126 [pool-2-thread-1] INFO  mylog - pool-2-thread-1正在处理企业----北京灵动三方科技有限公司
17:18:03.126 [pool-2-thread-1] INFO  mylog - 爬取的申请人名称---北京灵动三方科技有限公司
17:18:03.350 [pool-2-thread-6] INFO  mylog - pool-2-thread-6---下载北京树信苑原宇商贸中心第一页文档!
17:18:03.375 [pool-2-thread-2] INFO  mylog - pool-2-thread-2处理企业----北京恒丰丽晶科贸有限公司成功!
17:18:03.375 [pool-2-thread-2] INFO  mylog - pool-2-thread-2正在处理企业----北京蓝湖永拓科技发展有限公司
17:18:03.375 [pool-2-thread-2] INFO  mylog - 爬取的申请人名称---北京蓝湖永拓科技发展有限公司
17:18:03.391 [pool-2-thread-3] INFO  mylog - pool-2-thread-3处理企业----博文慧泰国际贸易（北京）有限公司成功!
17:18:03.391 [pool-2-thread-3] INFO  mylog - pool-2-thread-3正在处理企业----北京石洋春农业生态园有限公司
17:18:03.391 [pool-2-thread-3] INFO  mylog - 爬取的申请人名称---北京石洋春农业生态园有限公司
17:18:03.405 [pool-2-thread-2] INFO  mylog - 北京蓝湖永拓科技发展有限公司---登录账户名:18810412927
17:18:03.406 [pool-2-thread-2] INFO  mylog - 北京蓝湖永拓科技发展有限公司---账户密码:yyz2016...
17:18:03.433 [pool-2-thread-3] INFO  mylog - 北京石洋春农业生态园有限公司---登录账户名:15244665829 
17:18:03.433 [pool-2-thread-3] INFO  mylog - 北京石洋春农业生态园有限公司---账户密码:314159265358
17:18:03.718 [pool-2-thread-6] INFO  mylog - pool-2-thread-6处理企业----北京树信苑原宇商贸中心成功!
17:18:03.718 [pool-2-thread-6] INFO  mylog - pool-2-thread-6正在处理企业----北京君致清科技有限公司
17:18:03.718 [pool-2-thread-6] INFO  mylog - 爬取的申请人名称---北京君致清科技有限公司
17:18:03.799 [pool-2-thread-4] INFO  mylog - pool-2-thread-4---下载思慕思（北京）餐饮管理有限公司朝阳分公司第一页文档!
17:18:03.833 [pool-2-thread-4] INFO  mylog - pool-2-thread-4处理企业----思慕思（北京）餐饮管理有限公司朝阳分公司成功!
17:18:03.834 [pool-2-thread-4] INFO  mylog - pool-2-thread-4正在处理企业----北京国能环科环保科技有限公司
17:18:03.834 [pool-2-thread-4] INFO  mylog - 爬取的申请人名称---北京国能环科环保科技有限公司
17:18:03.882 [pool-2-thread-9] INFO  mylog - pool-2-thread-9---下载北京廿一客食品有限公司台湖生产基地第一页文档!
17:18:03.897 [pool-2-thread-8] INFO  mylog - pool-2-thread-8---下载北京峡筑幕墙工程设计咨询有限公司第一页文档!
17:18:03.916 [pool-2-thread-9] INFO  mylog - pool-2-thread-9处理企业----北京廿一客食品有限公司台湖生产基地成功!
17:18:03.916 [pool-2-thread-9] INFO  mylog - pool-2-thread-9正在处理企业----泰海国际物流（北京）有限公司
17:18:03.916 [pool-2-thread-9] INFO  mylog - 爬取的申请人名称---泰海国际物流（北京）有限公司
17:18:03.921 [pool-2-thread-7] INFO  mylog - pool-2-thread-7---下载北京精益融园商贸有限公司第一页文档!
17:18:03.946 [pool-2-thread-9] INFO  mylog - 泰海国际物流（北京）有限公司---登录账户名:15244665829 
17:18:03.947 [pool-2-thread-9] INFO  mylog - 泰海国际物流（北京）有限公司---账户密码:314159265358
17:18:03.970 [pool-2-thread-7] INFO  mylog - pool-2-thread-7处理企业----北京精益融园商贸有限公司成功!
17:18:03.970 [pool-2-thread-7] INFO  mylog - pool-2-thread-7正在处理企业----北京世纪光年广告有限公司
17:18:03.970 [pool-2-thread-7] INFO  mylog - 爬取的申请人名称---北京世纪光年广告有限公司
17:18:03.991 [pool-2-thread-7] INFO  mylog - 北京世纪光年广告有限公司---登录账户名:15244665829 
17:18:03.991 [pool-2-thread-7] INFO  mylog - 北京世纪光年广告有限公司---账户密码:314159265358
17:18:04.328 [pool-2-thread-8] INFO  mylog - pool-2-thread-8处理企业----北京峡筑幕墙工程设计咨询有限公司成功!
17:18:04.328 [pool-2-thread-8] INFO  mylog - pool-2-thread-8正在处理企业----北京广慧精研泡沫混凝土科技有限责任公司
17:18:04.328 [pool-2-thread-8] INFO  mylog - 爬取的申请人名称---北京广慧精研泡沫混凝土科技有限责任公司
17:18:04.371 [pool-2-thread-8] INFO  mylog - 北京广慧精研泡沫混凝土科技有限责任公司---登录账户名:15244665829 
17:18:04.371 [pool-2-thread-8] INFO  mylog - 北京广慧精研泡沫混凝土科技有限责任公司---账户密码:314159265358
17:18:05.576 [pool-2-thread-5] INFO  mylog - pool-2-thread-5---下载北京市天禄琳琅文化咨询有限责任公司第一页文档!
17:18:05.596 [pool-2-thread-5] INFO  mylog - pool-2-thread-5处理企业----北京市天禄琳琅文化咨询有限责任公司成功!
17:18:05.596 [pool-2-thread-5] INFO  mylog - pool-2-thread-5正在处理企业----北京恒胜天信息咨询中心
17:18:05.596 [pool-2-thread-5] INFO  mylog - 爬取的申请人名称---北京恒胜天信息咨询中心
17:18:05.744 [pool-2-thread-1] INFO  mylog - 北京灵动三方科技有限公司---登录账户名:15244665829 
17:18:05.744 [pool-2-thread-1] INFO  mylog - 北京灵动三方科技有限公司---账户密码:314159265358
17:18:06.025 [pool-2-thread-4] INFO  mylog - 北京国能环科环保科技有限公司---登录账户名:15244665829 
17:18:06.026 [pool-2-thread-4] INFO  mylog - 北京国能环科环保科技有限公司---账户密码:314159265358
17:18:06.055 [pool-2-thread-5] INFO  mylog - 北京恒胜天信息咨询中心---登录账户名:15244665829 
17:18:06.055 [pool-2-thread-5] INFO  mylog - 北京恒胜天信息咨询中心---账户密码:314159265358
17:18:07.195 [pool-2-thread-6] INFO  mylog - 北京君致清科技有限公司---登录账户名:15244665829 
17:18:07.195 [pool-2-thread-6] INFO  mylog - 北京君致清科技有限公司---账户密码:314159265358
17:18:11.077 [pool-2-thread-1] INFO  mylog - pool-2-thread-1---下载北京灵动三方科技有限公司第一页文档!
